Season,Team,TeamsByYear,HR,R,RBI,SB,BB,K,ISO,BABIP,AVG,OBP,SLG,wOBA,wRC+,BsR,Off,Def,WAR
2019,CIN,2019CIN,227,701,679,80,0.081,0.235,0.178,0.288,0.244,0.315,0.422,0.312,85,-16.7,-138,54.8,10.8
2019,SDP,2019SDP,219,682,652,70,0.084,0.263,0.172,0.293,0.238,0.308,0.41,0.305,89,-11.1,-101.1,20.2,10.8
2019,SFG,2019SFG,167,678,655,47,0.077,0.233,0.153,0.29,0.239,0.302,0.392,0.295,82,-3.4,-149.1,43.6,8.9
2019,TEX,2019TEX,223,810,765,131,0.086,0.254,0.183,0.304,0.248,0.319,0.431,0.317,88,12,-86.8,-47.3,8.7
2019,KCR,2019KCR,162,691,655,117,0.075,0.231,0.154,0.301,0.247,0.309,0.401,0.302,84,-1.7,-126.2,-24.6,6.7
2019,BAL,2019BAL,213,729,698,84,0.075,0.232,0.168,0.293,0.246,0.31,0.415,0.308,88,2,-91.4,-73.7,5.7
2019,MIA,2019MIA,146,615,593,55,0.065,0.243,0.134,0.3,0.241,0.298,0.375,0.288,79,-23.9,-195.6,22,1.9
2019,DET,2019DET,149,582,556,57,0.065,0.264,0.148,0.308,0.24,0.294,0.388,0.29,77,-6.8,-181,-57.5,-2
2018,LAD,2018LAD,235,804,756,75,0.102,0.226,0.191,0.294,0.25,0.333,0.442,0.333,111,11.4,99.3,37.8,34.4
2018,BOS,2018BOS,208,876,829,125,0.09,0.199,0.185,0.309,0.268,0.339,0.453,0.34,111,-5.1,74.1,28.4,32.5
2018,HOU,2018HOU,205,797,763,71,0.092,0.195,0.17,0.289,0.255,0.329,0.425,0.327,110,-7,64.6,39.3,32.1
2018,OAK,2018OAK,227,813,778,35,0.088,0.221,0.187,0.294,0.252,0.325,0.439,0.329,112,-5.8,83.2,-1.2,30.3
2018,NYY,2018NYY,267,851,821,63,0.1,0.227,0.202,0.285,0.249,0.329,0.451,0.335,112,14.6,102.8,-25,29.9
2018,MIL,2018MIL,218,754,711,124,0.086,0.235,0.172,0.302,0.252,0.323,0.424,0.322,100,8.2,7.7,77.1,28.5
2018,CHC,2018CHC,167,761,722,66,0.09,0.218,0.152,0.313,0.258,0.333,0.41,0.321,100,2.2,3.4,58.8,26.7
2018,CLE,2018CLE,216,818,786,135,0.088,0.189,0.176,0.291,0.259,0.332,0.434,0.33,106,13.7,55.1,-12.7,26.3
2018,ATL,2018ATL,175,759,717,90,0.082,0.206,0.161,0.302,0.257,0.324,0.417,0.319,96,12.6,-18.5,67.6,25
2018,WSN,2018WSN,191,771,737,119,0.1,0.205,0.164,0.297,0.254,0.335,0.419,0.325,101,8.4,14.5,21.3,23.7
2018,TBR,2018TBR,150,716,664,128,0.087,0.224,0.148,0.317,0.258,0.333,0.406,0.322,107,-0.3,48.7,-34.4,23.1
2018,STL,2018STL,205,759,725,63,0.085,0.223,0.16,0.294,0.249,0.321,0.409,0.316,99,12.9,7.9,9.4,21.5
2018,LAA,2018LAA,214,721,690,89,0.084,0.213,0.171,0.277,0.242,0.313,0.413,0.313,98,2.8,-13.8,1.7,20.1
2018,PIT,2018PIT,157,692,665,70,0.078,0.203,0.154,0.298,0.254,0.317,0.407,0.312,95,-13.3,-51.7,50.3,19.2
2018,SEA,2018SEA,176,677,644,79,0.071,0.201,0.154,0.295,0.254,0.314,0.408,0.313,100,-7,-8.3,-12.5,19.1
2018,ARI,2018ARI,176,693,658,79,0.091,0.237,0.162,0.286,0.235,0.31,0.397,0.306,88,7.1,-81,70.8,18.5
2018,CIN,2018CIN,172,696,665,77,0.09,0.221,0.148,0.307,0.254,0.328,0.401,0.317,94,-1.9,-44.8,19,17.2
2018,MIN,2018MIN,166,738,704,47,0.087,0.216,0.155,0.298,0.25,0.318,0.405,0.313,96,0.6,-30.5,-15.9,16.7
2018,NYM,2018NYM,170,676,649,71,0.092,0.227,0.154,0.283,0.234,0.312,0.389,0.305,94,2.6,-43.1,11.6,16.4
2018,COL,2018COL,210,780,748,95,0.082,0.226,0.179,0.304,0.256,0.322,0.435,0.325,88,3.2,-85.1,44.7,15.5
2018,TOR,2018TOR,217,709,680,47,0.082,0.228,0.183,0.286,0.244,0.312,0.427,0.319,100,-27.1,-29.7,-31.9,14.9
2018,PHI,2018PHI,186,677,653,69,0.095,0.248,0.158,0.289,0.234,0.314,0.393,0.307,91,2.9,-68.5,8.1,13.3
2018,CHW,2018CHW,182,656,639,98,0.07,0.263,0.16,0.304,0.241,0.302,0.401,0.304,92,-7.2,-67.5,-28.5,11.3
2018,TEX,2018TEX,194,737,696,74,0.09,0.241,0.164,0.292,0.24,0.318,0.404,0.315,89,7.2,-77.4,-22.3,11.2
2018,MIA,2018MIA,128,589,554,45,0.075,0.228,0.119,0.293,0.237,0.303,0.357,0.289,83,-15.8,-138.9,54.3,10.7
2018,SDP,2018SDP,162,617,583,95,0.078,0.251,0.145,0.294,0.235,0.297,0.38,0.294,84,-5.7,-122,28.1,9.6
2018,KCR,2018KCR,155,638,606,117,0.07,0.216,0.146,0.293,0.245,0.305,0.392,0.303,87,-7.4,-98.8,-31.1,7.8
2018,SFG,2018SFG,133,603,573,77,0.073,0.24,0.129,0.299,0.239,0.3,0.368,0.29,82,-2.9,-140.4,9.5,6
2018,BAL,2018BAL,188,622,593,81,0.07,0.234,0.152,0.286,0.239,0.298,0.391,0.299,87,-9.6,-104.1,-54,4.8
2018,DET,2018DET,135,630,597,70,0.071,0.222,0.138,0.293,0.241,0.3,0.38,0.295,83,6.4,-118.5,-44.9,4.2
2017,HOU,2017HOU,238,896,854,98,0.081,0.173,0.196,0.309,0.282,0.346,0.478,0.349,121,-0.4,162.6,2.6,37.3
2017,LAD,2017LAD,221,770,730,77,0.105,0.223,0.188,0.293,0.249,0.334,0.437,0.33,104,5.8,40.7,54.3,30.3
2017,CLE,2017CLE,212,818,780,88,0.097,0.185,0.186,0.295,0.263,0.339,0.449,0.336,105,11.1,48.8,32.6,28.8
2017,NYY,2017NYY,241,858,821,90,0.097,0.218,0.185,0.304,0.262,0.339,0.447,0.336,109,11.1,82.3,-5.9,28.7
2017,MIN,2017MIN,206,815,781,95,0.095,0.214,0.174,0.306,0.26,0.334,0.434,0.329,103,14.4,39.7,35.7,28.3
2017,CHC,2017CHC,223,822,785,62,0.099,0.223,0.182,0.302,0.255,0.338,0.437,0.331,101,-6.8,4.8,47.5,26.4
2017,STL,2017STL,196,761,728,81,0.095,0.217,0.17,0.304,0.256,0.334,0.426,0.326,101,2,8.4,40,25.8
2017,MIA,2017MIA,194,778,743,91,0.078,0.205,0.163,0.313,0.267,0.331,0.431,0.325,101,1.4,9,35.9,25.6
2017,SEA,2017SEA,200,750,714,89,0.079,0.205,0.165,0.3,0.259,0.325,0.424,0.321,103,-12.6,7.1,26.9,23.9
2017,WSN,2017WSN,215,819,796,108,0.087,0.214,0.183,0.311,0.266,0.332,0.449,0.331,99,11.9,2.4,17.6,23
2017,MIL,2017MIL,224,732,695,128,0.089,0.256,0.18,0.308,0.249,0.322,0.429,0.321,94,2.4,-48.6,67.5,22.6
2017,CIN,2017CIN,219,753,715,120,0.091,0.214,0.179,0.294,0.253,0.329,0.433,0.325,95,-5.3,-47.4,54.3,21.7
2017,ARI,2017ARI,220,812,776,103,0.093,0.234,0.19,0.306,0.254,0.329,0.445,0.329,95,12.4,-27.9,31.7,21.4
2017,TBR,2017TBR,228,694,671,88,0.089,0.25,0.178,0.296,0.245,0.317,0.422,0.316,99,11.2,1.1,-2,20.4
2017,NYM,2017NYM,224,735,713,58,0.086,0.209,0.184,0.286,0.25,0.32,0.434,0.322,101,-11.3,-7.2,1.1,20.2
2017,OAK,2017OAK,234,739,708,57,0.092,0.243,0.19,0.294,0.246,0.319,0.436,0.323,103,-5.5,19.9,-53.7,17
2017,LAA,2017LAA,186,710,678,136,0.086,0.197,0.155,0.277,0.243,0.315,0.397,0.307,92,1.4,-61.3,21.6,16.3
2017,CHW,2017CHW,186,706,670,71,0.066,0.231,0.161,0.309,0.256,0.314,0.417,0.313,95,-1.9,-36.4,-5.1,16
2017,BOS,2017BOS,168,785,735,106,0.09,0.193,0.149,0.3,0.258,0.329,0.407,0.316,91,4.9,-64,5.1,15.2
2017,ATL,2017ATL,165,732,706,77,0.076,0.19,0.15,0.305,0.263,0.326,0.412,0.316,89,4.3,-87.6,24.9,14.7
2017,COL,2017COL,192,824,793,59,0.084,0.227,0.171,0.332,0.273,0.338,0.444,0.332,88,-6.4,-105.8,38.3,14.2
2017,KCR,2017KCR,193,702,660,91,0.065,0.193,0.16,0.295,0.259,0.311,0.42,0.312,91,2.5,-65.6,-14.9,12
2017,PHI,2017PHI,174,690,654,59,0.081,0.231,0.159,0.304,0.25,0.315,0.409,0.31,87,-9.5,-109.5,15.1,11.3
2017,TEX,2017TEX,237,799,756,113,0.089,0.244,0.186,0.291,0.244,0.32,0.43,0.321,90,6.3,-70.2,-22.5,11.1
